Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.06     51.41     0.04       76     0.00     0.01  tree_ssa_dominator_optimize
  0.06     51.45     0.04       38     0.00     0.00  cleanup_barriers
  0.06     51.49     0.04       38     0.00     0.00  instantiate_virtual_regs
  0.06     51.53     0.04       38     0.00     0.01  reload_as_needed
  0.06     51.57     0.04       38     0.00     0.01  rest_of_handle_initialize_regs
  0.06     51.61     0.04                             list_equal_p
  0.06     51.65     0.04                             make_tree_binfo_stat
  0.06     51.69     0.04  8898027     0.00     0.00  extract_insn_cached
  0.06     51.72     0.04  6060901     0.00     0.00  get_av_level
  0.06     51.76     0.04  5502819     0.00     0.00  bitmap_ior
  0.06     51.79     0.04  3214634     0.00     0.00  rescan_loop_exit
  0.05     51.82     0.03  4495312     0.00     0.00  sched_analyze_reg
  0.05     51.85     0.03  4208981     0.00     0.00  extract_asm_operands
  0.05     51.88     0.03  2725040     0.00     0.00  def_blocks_eq
  0.05     51.91     0.03   623699     0.00     0.00  scan_paradoxical_subregs
  0.05     51.94     0.03   491546     0.00     0.00  has_dependence_finish_rhs
  0.05     51.97     0.03   149385     0.00     0.00  gimple_cond_get_ops_from_tree
  0.05     52.00     0.03      789     0.00     0.00  cleanup_tree_cfg
  0.05     52.03     0.03      154     0.00     0.00  df_update_entry_exit_and_calls
  0.05     52.06     0.03       38     0.00     0.00  rest_of_pass_free_cfg
  0.05     52.09     0.03                             remove_list_elem
  0.05     52.12     0.03 43971279     0.00     0.00  fold_convert_loc
  0.05     52.15     0.03 12496631     0.00     0.00  extract_constrain_insn_cached
  0.05     52.18     0.03 11275718     0.00     0.00  record_set
  0.05     52.21     0.03  9115103     0.00     0.00  copy_expr
  0.05     52.24     0.03  8012098     0.00     0.00  xcalloc
  0.05     52.27     0.03  7625886     0.00     0.00  ix86_rtx_costs
  0.05     52.30     0.03  6525109     0.00     0.00  htab_find_with_hash
  0.05     52.33     0.03  6172023     0.00     0.00  insn_contains_asm_1
  0.05     52.36     0.03  5980522     0.00     0.00  legitimate_constant_p
  0.05     52.39     0.03  4170143     0.00     0.00  fold_rtx
  0.05     52.42     0.03  4115438     0.00     0.00  get_attr_memory
  0.05     52.45     0.03  3863716     0.00     0.00  flags_from_decl_or_type
  0.05     52.48     0.03  3583923     0.00     0.00  find_edge
  0.05     52.51     0.03  3518999     0.00     0.00  cselib_invalidate_rtx_note_stores
  0.05     52.54     0.03  3380828     0.00     0.00  gen_rtx_CONST_INT
  0.05     52.57     0.03  2910860     0.00     0.00  active_insn_p
  0.05     52.60     0.03  2661029     0.00     0.00  _cpp_lex_token
  0.05     52.63     0.03  2618950     0.00     0.00  get_expr_value_id
  0.05     52.66     0.03  2446605     0.00     0.00  simplify_const_binary_operation
  0.05     52.69     0.03  2266174     0.00     0.00  vec_heap_o_reserve_1
  0.05     52.72     0.03  2228270     0.00     0.00  estimate_num_insns
  0.05     52.75     0.03  2218003     0.00     0.00  iterative_hash
  0.05     52.78     0.03  2110242     0.00     0.00  process_defs
  0.05     52.81     0.03  2050492     0.00     0.00  sreal_mul
  0.05     52.84     0.03  1603027     0.00     0.00  reg_mentioned_p
  0.05     52.87     0.03  1491559     0.00     0.00  forward_propagate_into
  0.05     52.90     0.03  1453360     0.00     0.00  copy_rtx
  0.05     52.93     0.03  1348832     0.00     0.00  vec_gc_p_reserve
  0.05     52.96     0.03  1271550     0.00     0.00  _eligible_successor_edge_p
  0.05     52.99     0.03  1268474     0.00     0.00  fold_convert_const
  0.05     53.02     0.03  1232638     0.00     0.00  add_or_update_dep_1
  0.05     53.05     0.03  1232638     0.00     0.00  sd_find_dep_between_no_cache
  0.05     53.08     0.03  1182361     0.00     0.00  find_best_expr
  0.05     53.11     0.03  1179536     0.00     0.00  cleanup_subreg_operands
  0.05     53.14     0.03  1100204     0.00     0.00  compute_succs_info
  0.05     53.17     0.03  1037255     0.00     0.00  luids_init_insn
  0.05     53.20     0.03   994830     0.00     0.00  record_value_for_reg
  0.05     53.23     0.03   961624     0.00     0.00  rtl_profile_for_bb
  0.05     53.26     0.03   883108     0.00     0.00  remove_insn
  0.05     53.29     0.03   855005     0.00     0.00  blist_remove
  0.05     53.32     0.03   841389     0.00     0.00  sbitmap_zero
  0.05     53.35     0.03   805495     0.00     0.00  c_parser_binary_expression
  0.05     53.38     0.03   805148     0.00     0.00  c_parser_conditional_expression
