Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.25     0.00       38     0.00     0.00  PerlIOBuf_fill
  0.00      0.25     0.00       38     0.00     0.00  PerlIOBuf_read
  0.00      0.25     0.00       38     0.00     0.00  PerlIOUnix_read
  0.00      0.25     0.00       38     0.00     0.00  PerlIO_getc
  0.00      0.25     0.00       38     0.00     0.00  Perl_PerlIO_fill
  0.00      0.25     0.00       38     0.00     0.00  Perl_PerlIO_tell
  0.00      0.25     0.00       36     0.00     0.00  Perl_mro_meta_init
  0.00      0.25     0.00       36     0.00     0.00  S_lop
  0.00      0.25     0.00       35     0.00     0.00  S_invlist_set_len
  0.00      0.25     0.00       35     0.00     0.00  S_sublex_start
  0.00      0.25     0.00       34     0.00     0.00  S_scan_str
  0.00      0.25     0.00       32     0.00     0.00  PerlIOBuf_tell
  0.00      0.25     0.00       32     0.00     0.00  S_scalarseq
  0.00      0.25     0.00       31     0.00     0.00  Perl_save_bool
  0.00      0.25     0.00       30     0.00     0.00  Perl_PerlIO_fileno
  0.00      0.25     0.00       29     0.00     0.11  Perl_newASSIGNOP
  0.00      0.25     0.00       29     0.00     0.00  Perl_save_hints
  0.00      0.25     0.00       29     0.00     0.00  Perl_save_pushi32ptr
  0.00      0.25     0.00       29     0.00     0.00  S_prune_chain_head
  0.00      0.25     0.00       28     0.00     0.00  Perl_block_end
  0.00      0.25     0.00       28     0.00     0.00  Perl_block_start
  0.00      0.25     0.00       28     0.00     0.00  Perl_pad_block_start
  0.00      0.25     0.00       28     0.00     0.00  Perl_pad_leavemy
  0.00      0.25     0.00       28     0.00     0.00  Perl_sv_2pv_flags
  0.00      0.25     0.00       28     0.00     0.00  S_get_invlist_iter_addr
  0.00      0.25     0.00       28     0.00     0.00  S_get_invlist_offset_addr
  0.00      0.25     0.00       28     0.00     0.00  S_get_invlist_previous_index_addr
  0.00      0.25     0.00       28     0.00     0.00  S_maybe_multimagic_gv
  0.00      0.25     0.00       28     0.00     0.00  S_pad_reset
  0.00      0.25     0.00       28     0.00     0.00  S_scan_const
  0.00      0.25     0.00       28     0.00     0.00  S_uiv_2buf
  0.00      0.25     0.00       27     0.00     0.00  Perl_newXS
  0.00      0.25     0.00       26     0.00     0.00  S_sublex_done
  0.00      0.25     0.00       25     0.00     0.00  Perl_newAVREF
  0.00      0.25     0.00       25     0.00     0.00  S_assignment_type
  0.00      0.25     0.00       24     0.00     0.00  Perl__new_invlist_C_array
  0.00      0.25     0.00       24     0.00     0.00  S_ReANY
  0.00      0.25     0.00       24     0.00     0.00  S_invlist_iterfinish
  0.00      0.25     0.00       24     0.00     0.00  S_invlist_set_previous_index
  0.00      0.25     0.00       23     0.00     0.00  Perl_hfree_next_entry
