Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.05% of 20.53 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.8    0.00   20.49                 main [1]
                0.00    7.79       1/1           spec_compress [15]
                0.00    6.45       1/1           spec_mem_load [17]
                0.00    5.77       1/2           spec_uncompress [9]
                0.00    0.34       1/3           spec_mem_sum [27]
                0.14    0.00       1/1           spec_mem_init [39]
                0.00    0.00       6/6           debug_time [145]
                0.00    0.00       2/2           spec_mem_reset [209]
                0.00    0.00       2/2           spec_mem_rewind [210]
                0.00    0.00       1/1           sum_str_to_hex [261]
                0.00    0.00       1/1           spec_mem_alloc_fds [259]
                0.00    0.00       1/1           spec_initbufs [258]
                0.00    0.00       1/2           compare_sum [171]
-----------------------------------------------
                0.00    7.79    9439/23420       compressStream [14]
                0.00   11.54   13981/23420       uncompressStream [10]
[2]     94.2    0.00   19.33   23420         lzma_code [2]
                0.00   17.72    9439/9439        stream_encode [4]
                0.00    1.62   13981/13981       stream_decode [19]
-----------------------------------------------
                0.00   17.72    9439/9439        stream_encode [4]
[3]     86.3    0.00   17.72    9439         block_encode [3]
                0.01   17.66    9439/9439        lz_encode [5]
                0.00    0.04    9439/23424       lzma_check_update [40]
                0.00    0.00       1/7           lzma_check_finish [143]
                0.00    0.00       1/10          lzma_check_size [138]
                0.00    0.00       1/17629       lzma_bufcpy [112]
-----------------------------------------------
                0.00   17.72    9439/9439        lzma_code [2]
[4]     86.3    0.00   17.72    9439         stream_encode [4]
                0.00   17.72    9439/9439        block_encode [3]
                0.00    0.00       3/17629       lzma_bufcpy [112]
                0.00    0.00       1/1           lzma_index_encoder_init [240]
                0.00    0.00       1/6           lzma_block_unpadded_size [148]
                0.00    0.00       1/1           lzma_index_append [238]
                0.00    0.00       1/1           index_encode [218]
                0.00    0.00       1/8           vli_ceil4 [142]
                0.00    0.00       1/4           index_size [156]
                0.00    0.00       1/1           lzma_index_size [245]
                0.00    0.00       1/1           lzma_stream_footer_encode [253]
                0.00    0.00       1/1           lzma_block_header_encode [233]
-----------------------------------------------
                0.01   17.66    9439/9439        block_encode [3]
[5]     86.1    0.01   17.66    9439         lz_encode [5]
                0.00   17.66   10117/10117       lzma2_encode [6]
                0.00    0.00    5134/5134        fill_window [117]
-----------------------------------------------
                0.00   17.66   10117/10117       lz_encode [5]
[6]     86.0    0.00   17.66   10117         lzma2_encode [6]
                0.25   17.41    5800/5800        lzma_lzma_encode [7]
                0.00    0.00     426/427         lzma_lzma_encoder_reset [79]
                0.00    0.00    3611/3611        mf_read [118]
                0.00    0.00    2466/17629       lzma_bufcpy [112]
                0.00    0.00     668/668         mf_unencoded [120]
                0.00    0.00     427/427         lzma2_header_uncompressed [125]
